4,4,4,35,25
4,4,35,35,25
4,35,35,6,32
35,35,6,3,25
199,936,936,936,25
936,936,936,13,25
936,936,13,936,32
936,13,936,21,32
13,936,21,936,32
936,21,936,21,32
21,936,21,13,32
936,21,13,936,32
21,13,936,21,32
13,936,21,21,32
936,21,21,936,32
21,21,936,3,32
21,936,3,936,32
936,3,936,21,25
3,936,21,936,32
936,21,936,21,32
21,936,21,7,32
936,21,7,131,25
21,7,131,5,25
7,131,5,6,32
131,5,6,6,32
5,6,6,12,32
6,6,12,218,32
6,12,218,7,32
12,218,7,218,32
218,7,218,199,32
7,218,199,3,32
218,199,3,3,32
199,3,3,7,32
3,3,7,936,32
3,7,936,5,32
7,936,5,7,32
936,5,7,191,32
5,7,191,4,32
7,191,4,199,32
191,4,199,5,32
4,199,5,207,25
199,5,207,935,32
5,207,935,12,32
207,935,12,12,32
935,12,12,12,25
12,12,12,12,25
12,12,12,218,32
12,12,218,5,25
12,218,5,5,25
934,218,7,4,25
218,7,4,928,25
7,4,928,12,25
